epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2828.39,1.22369,1.07464,1.2068,0.93451,0.96262,0.97827,0.66713,1.14657,0.70597,0.99749,0.000228729,0.000228729,0.000228729
43,2895.97,1.20179,0.98893,1.18312,0.93646,0.96327,0.98124,0.65798,1.22854,0.70783,0.98767,0.000224917,0.000224917,0.000224917
44,2966.27,1.2124,0.97996,1.1841,0.93162,0.9892,0.98517,0.70136,1.06732,0.6587,0.93588,0.000221106,0.000221106,0.000221106
45,3033.63,1.19962,0.96039,1.19859,0.94178,0.9571,0.98219,0.66797,1.1874,0.67325,0.98898,0.000217294,0.000217294,0.000217294
46,3100.54,1.20728,0.98328,1.19267,0.94137,0.98476,0.98436,0.68468,1.18206,0.62714,0.99277,0.000213482,0.000213482,0.000213482
47,3167.28,1.18094,0.97712,1.16756,0.93577,0.93146,0.97286,0.67861,1.13597,0.67198,0.97215,0.000209671,0.000209671,0.000209671
48,3234.72,1.18526,0.97463,1.18491,0.94943,0.96619,0.98487,0.70508,1.04024,0.66317,0.92274,0.00020586,0.00020586,0.00020586
49,3302.56,1.16828,0.97017,1.17036,0.94302,0.94782,0.98688,0.71715,1.0352,0.66075,0.92271,0.000202048,0.000202048,0.000202048
50,3370.17,1.15025,0.95517,1.16198,0.95591,0.95556,0.98592,0.67538,1.16556,0.61438,0.98132,0.000198236,0.000198236,0.000198236
51,3436.58,1.18936,0.99928,1.18442,0.90345,0.90049,0.97709,0.71451,1.00174,0.7787,0.88322,0.000194425,0.000194425,0.000194425
52,3503.36,1.12696,0.90932,1.14365,0.9464,0.96815,0.98884,0.70315,1.05769,0.59147,0.91779,0.000190613,0.000190613,0.000190613
53,3570.04,1.13794,0.92674,1.15516,0.97288,0.98489,0.99131,0.70396,1.07438,0.60008,0.92146,0.000186802,0.000186802,0.000186802
54,3637.71,1.10756,0.89549,1.13373,0.94764,0.95239,0.98205,0.72883,0.98545,0.58825,0.88956,0.00018299,0.00018299,0.00018299
55,3702.75,1.11325,0.90737,1.14862,0.95573,0.94689,0.98206,0.73467,0.96206,0.6366,0.87093,0.000179179,0.000179179,0.000179179
56,3765.64,1.08546,0.89024,1.13153,0.97801,0.99536,0.99285,0.76856,0.90698,0.49372,0.84036,0.000175367,0.000175367,0.000175367
57,3828.39,1.09914,0.86252,1.13929,0.9759,0.98004,0.99102,0.7261,1.01711,0.53995,0.88182,0.000171556,0.000171556,0.000171556
58,3891.33,1.11268,0.87349,1.14496,0.97179,0.99432,0.99376,0.75184,0.93855,0.5423,0.85634,0.000167745,0.000167745,0.000167745
59,3954.52,1.08443,0.88538,1.13454,0.9757,0.97905,0.98991,0.75127,0.94871,0.49812,0.85607,0.000163933,0.000163933,0.000163933
60,4018.89,1.04381,0.8474,1.11742,0.96514,0.98698,0.99305,0.74461,0.96788,0.50913,0.85947,0.000160122,0.000160122,0.000160122
61,4085.81,1.02889,0.78831,1.1003,0.97009,0.96999,0.98908,0.75608,0.95984,0.56671,0.84365,0.00015631,0.00015631,0.00015631
